Mon Sep 26 15:19:21 2016,2267,-4472,200,3054,2450,-2497,-1144
Mon Sep 26 15:19:21 2016,2276,-5166,918,2118,2292,-2168,-1253
Mon Sep 26 15:19:22 2016,2286,-5812,1308,1616,1903,-1598,-1249
Mon Sep 26 15:19:22 2016,2295,-7116,1902,1172,1626,-1237,-1100
Mon Sep 26 15:19:22 2016,2304,-7332,2100,514,1149,-626,-680
Mon Sep 26 15:19:22 2016,2331,-7190,2600,-386,754,-46,-254
Mon Sep 26 15:19:22 2016,2340,-8210,2958,-646,-16,988,354
Mon Sep 26 15:19:22 2016,2349,-10010,2494,-34,-479,1565,785
Mon Sep 26 15:19:22 2016,2358,-10846,2606,316,-1004,2308,1538
Mon Sep 26 15:19:22 2016,2367,-10666,2376,524,-1333,2803,2005
Mon Sep 26 15:19:22 2016,2376,-10026,2324,1558,-1879,3622,2670
Mon Sep 26 15:19:22 2016,2385,11932,2576,16390,-2457,4472,2612
Mon Sep 26 15:19:22 2016,2394,19114,17872,24848,-3330,4764,1779
Mon Sep 26 15:19:22 2016,2403,4062,-5450,-2030,-5245,5923,-1232
Mon Sep 26 15:19:22 2016,2412,-684,-14678,2750,-5413,6825,-2741
Mon Sep 26 15:19:22 2016,2421,-7422,-14836,15342,-2830,7394,-1417
Mon Sep 26 15:19:22 2016,2430,-8738,-11514,10516,-643,7075,-1642
Mon Sep 26 15:19:22 2016,2439,-10380,-2970,13726,91,6933,-1744
Mon Sep 26 15:19:22 2016,2449,-10272,5894,10624,186,5721,-990
Mon Sep 26 15:19:22 2016,2458,-7938,3676,9766,-142,5196,-452
Mon Sep 26 15:19:22 2016,2485,-6560,864,10136,-264,4507,-99
Mon Sep 26 15:19:22 2016,2495,-8412,2500,8048,-639,4553,-842
Mon Sep 26 15:19:22 2016,2504,-14012,6298,7718,-1713,3247,-468
Mon Sep 26 15:19:22 2016,2513,-4774,-106,9470,-1740,2651,-601
Mon Sep 26 15:19:22 2016,2522,-4882,-334,6856,-1908,1828,-762
Mon Sep 26 15:19:22 2016,2531,-3598,1966,8422,-1901,1709,-913
Mon Sep 26 15:19:22 2016,2540,-4020,1276,7638,-2001,1585,-886
Mon Sep 26 15:19:22 2016,2549,-1650,1460,7490,-1946,1582,-1041
Mon Sep 26 15:19:22 2016,2558,-4118,704,7598,-1780,1689,-1111
Mon Sep 26 15:19:22 2016,2567,-5552,-2334,7228,-1316,1365,-1062
Mon Sep 26 15:19:22 2016,2577,-3064,-252,7690,-854,1195,-685
Mon Sep 26 15:19:22 2016,2586,-3966,-498,7728,-494,1336,-582
Mon Sep 26 15:19:22 2016,2595,-3470,394,8406,-270,1535,-354
Mon Sep 26 15:19:22 2016,2604,-4330,1916,9674,-27,1644,-185
Mon Sep 26 15:19:22 2016,2613,-4712,1422,7168,-151,1562,-233
Mon Sep 26 15:19:22 2016,2641,-4046,1666,7440,-70,1373,-247
Mon Sep 26 15:19:22 2016,2650,-3806,1688,6228,-140,1035,-251
Mon Sep 26 15:19:22 2016,2659,-3810,274,7192,-172,985,-357
Mon Sep 26 15:19:22 2016,2668,-4196,506,6772,-38,1086,-280
Mon Sep 26 15:19:22 2016,2677,-4944,230,6946,63,1115,-185
Mon Sep 26 15:19:22 2016,2686,-4634,706,6806,141,1060,-99
Mon Sep 26 15:19:22 2016,2696,-4194,822,6996,152,1122,-88
Mon Sep 26 15:19:22 2016,2705,-4650,742,7020,167,1171,-88
Mon Sep 26 15:19:22 2016,2714,-3790,702,7126,212,1211,-84
Mon Sep 26 15:19:22 2016,2723,-4444,934,7146,286,1432,-108
Mon Sep 26 15:19:22 2016,2732,-4806,836,6660,278,1379,-141
Mon Sep 26 15:19:22 2016,2741,-4714,684,6642,262,1302,-120
Mon Sep 26 15:19:22 2016,2750,-4380,548,6462,215,1250,-66
Mon Sep 26 15:19:22 2016,2759,-4630,730,6398,240,1216,-73
Mon Sep 26 15:19:22 2016,2769,-4826,732,6502,207,1195,-74
Mon Sep 26 15:19:22 2016,2796,-5004,704,6518,199,1116,-27
Mon Sep 26 15:19:22 2016,2805,-4530,752,6600,207,1061,-27
Mon Sep 26 15:19:22 2016,2814,-4752,1070,6422,182,1049,-41
Mon Sep 26 15:19:22 2016,2823,-4638,1178,6234,132,1034,-104
Mon Sep 26 15:19:22 2016,2832,-4480,1254,6214,58,1074,-258
Mon Sep 26 15:19:22 2016,2841,-4750,1276,5936,5,1098,-374
Mon Sep 26 15:19:22 2016,2850,-4966,640,6290,15,1028,-558
Mon Sep 26 15:19:22 2016,2859,-5456,918,5824,-76,889,-591
Mon Sep 26 15:19:22 2016,2868,-5078,946,6046,-159,694,-625
Mon Sep 26 15:19:22 2016,2878,-4782,1530,6592,-236,658,-667
Mon Sep 26 15:19:22 2016,2887,-4360,694,6692,-241,830,-780
Mon Sep 26 15:19:22 2016,2896,-4704,520,6540,-286,796,-890
Mon Sep 26 15:19:22 2016,2905,-4752,1160,6816,-218,974,-965
Mon Sep 26 15:19:22 2016,2914,-4632,1028,6908,-163,943,-712
Mon Sep 26 15:19:22 2016,2923,-4752,458,6438,-39,1245,-602
Mon Sep 26 15:19:22 2016,2950,-5182,154,6352,-89,1540,-469
Mon Sep 26 15:19:22 2016,2959,-4770,490,6572,-123,1856,-323
Mon Sep 26 15:19:22 2016,2968,-5266,656,5996,-158,2213,-232
Mon Sep 26 15:19:22 2016,2977,-5186,836,6616,-63,2855,-212
Mon Sep 26 15:19:22 2016,2986,-5380,1132,6584,56,3476,-336
Mon Sep 26 15:19:22 2016,2995,-4668,-72,7602,110,4749,-278
Mon Sep 26 15:19:22 2016,3004,-5182,398,7034,10,5575,-259
Mon Sep 26 15:19:22 2016,3013,-4880,622,7332,-284,6894,-209
Mon Sep 26 15:19:22 2016,3022,-3810,692,7242,-417,7801,-423
Mon Sep 26 15:19:22 2016,3031,-4266,746,7802,-528,9141,-630
Mon Sep 26 15:19:22 2016,3041,-7004,1816,7928,-595,9786,-787
