	-8	514
	-3800	-41
	-7	492
	-3776	-41
	1	524
	-3820	-15
	17	502
	-3818	-13
	9	568
	-3942	67
	207	728
	-4024	129
	68	928
	-3218	-80
	293	1456
	-4	-1583
	989	4568
	2798	-102
	-1083	1762
	2178	95
	-1901	2554
	-1082	725
	-2589	3420
	-1860	2230
	-2917	2612
	-994	2782
	-2431	1510
	-1690	2449
	-2847	926
	-1598	1589
	-2865	1050
	-2362	798
	-3228	-248
	-3462	127
	-3306	24
	-6726	-938
	-947	1234
	-10966	142
	3566	1318
	12538	-711
	8730	-9408
	-3676	-190
	11490	20962
	-1228	-857
	852	3878
	-4380	-628
	142	42
	-3064	54
	1174	1628
	-3838	56
	886	584
	-3954	-164
	1245	892
	-3688	-255
	1857	270
	-4300	-42
	1679	686
	-5854	57
	1788	1098
	-4440	-245
	3203	348
	-6982	21
	6586	1718
	-6718	-895
	12407	1400
	-14290	1110
	14973	2282
	-10284	-271
	-547	10160
	3028	-2408
	-7229	4140
	-3140	-1698
	-9744	3948
	-3996	-815
	-9503	4610
	-8624	2502
	-9964	2230
	-10506	4711
	-9731	1130
	-10418	3545
	-8204	3042
	-14018	2170
	-9273	-798
	-18480	2348
	-4506	-2576
	-19840	-1232
	4582	-1842
	12232	-170
	12915	-7804
	-26626	-842
	5230	-10848
	-6588	-1315
	-141	1366
	-3908	-505
	-40	1098
	-3210	-203
	667	678
	-3736	-353
	428	496
	-3884	-305
	560	376
	-3528	-279
	652	1286
	-4564	-215
	-195	394
	-3744	-426
	2669	114
	-4654	-39
	4698	232
	-6618	18
	9548	2420
	-3968	-1575
	18154	3030
	-15682	-2512
	9628	8212
	-1702	-3395
	-5671	3994
	338	-938
	-8541	5670
	-966	1844
	-11156	2334
	-7372	2699
	-10890	1050
	-11476	3835
	-10889	172
	-11938	4525
	-9869	1022
	-15406	1794
	-9925	-372
	-20874	2695
	-6230	-5444
	-19706	-501
	3151	148
	-9536	1189
	5679	-8576
	-25528	-1337
	12442	4816
	-12652	-1077
	2651	-2280
	-5360	-790
	-2	50
	-3728	174
	584	242
	-3788	746
	968	1658
	-3826	386
	565	1208
	-3362	243
	714	1736
	-3934	-652
	764	1664
	-4830	-1509
	1303	452
	-4450	-750
	2977	1292
	-5234	-810
	6663	-376
	50	-730
	13273	4938
	-17756	-300
	14232	3006
	-4852	-1603
	-465	5792
	3806	-3843
	-8308	6306
	-3912	-1948
	-11052	4454
	-7478	322
	-10466	4120
	-10488	3382
	-9869	3256
	-10358	5558
	-8560	2506
	-16256	4742
	-9460	208
	-17576	3114
	-6752	-6322
	-19896	955
	3366	-1956
	-15872	-505
	4424	20210
	-14054	-2287
	13855	28368
	-4956	-1639
	1291	2198
	-4320	-414
	162	482
	-3478	-135
	901	408
	-4158	534
	1151	1156
	-3482	42
	1204	896
	-3972	-44
	1206	1748
	-3696	-659
	902	374
	-3706	-819
	1333	1146
	-4384	-648
	2693	970
	-5290	-507
	5925	892
	-7050	-344
	12015	1414
	-11520	-149
	15739	-1068
	-13794	-256
	3499	9788
	2604	-4266
	-6847	5312
	-1526	-2441
	-8833	3804
	-5110	319
	-10200	4920
	-8308	2980
	-10193	4580
	-11378	5952
	-9756	2802
	-16026	5329
	-10456	2738
	-18028	793
	-8559	-4748
	-23178	4270
	-655	-4080
	-15448	-3124
	4347	14506
	18062	-3522
	13286	32767
	-10014	-827
	2719	-714
	-6668	-602
	378	-146
	-3742	-256
	269	242
	-3534	504
	566	2052
	-4258	11
	733	914
	-4380	75
	516	1138
	-4044	-64
	609	940
	-5652	-453
	432	388
	-4000	-427
	1307	726
	-4152	-404
	2799	1398
	-3082	-748
	6216	-360
	-2668	-1097
	12236	3902
	-13132	-2136
	15184	2920
	-4600	-3488
	1535	11872
	3004	-1944
	-6960	2412
	-1714	-197
	-10228	1596
	-5822	943
	-10616	2866
	-9346	5069
	-8392	1440
	-13658	5195
	-7180	2342
	-12914	3252
	-6062	3820
	-11778	4512
	-6235	398
	-10486	3223
	-3044	-2304
	-10888	1383
	1440	-174
	-12792	1357
	2124	10184
	21802	-4325
	16292	-3382
	-32768	-5234
	1962	-268
	-5390	-573
	-50	1506
	-3916	-351
	-4	794
	-4394	-221
	632	870
	-4152	-196
	159	478
	-4360	-285
	171	518
	-4306	-272
	87	454
	-4218	-205
	169	140
	-4236	-34
	322	382
	-4500	-54
	141	368
	-4528	-44
	-91	298
	-4460	-56
	63	296
	-4062	-12
	67	498
	-4134	-50
	210	242
	-4444	-18
	321	540
	-4454	-77
	360	398
	-4540	-113
	561	214
	-4720	4
	308
