Mon Sep 26 15:14:38 2016,2397,-1946,926,8410,125,-2990,1989
Mon Sep 26 15:14:38 2016,2406,-1394,954,7674,113,-2997,1759
Mon Sep 26 15:14:38 2016,2416,-1598,1096,7530,61,-2923,1589
Mon Sep 26 15:14:38 2016,2449,-1882,1114,7372,20,-2877,1371
Mon Sep 26 15:14:38 2016,2458,-1978,1114,7218,11,-2865,1207
Mon Sep 26 15:14:38 2016,2468,-1872,1050,6904,78,-2820,1026
Mon Sep 26 15:14:38 2016,2478,-2270,802,6972,214,-2795,941
Mon Sep 26 15:14:38 2016,2487,-2362,934,7158,414,-2846,798
Mon Sep 26 15:14:38 2016,2497,-2602,904,7304,456,-2937,684
Mon Sep 26 15:14:38 2016,2507,-3240,526,7606,599,-3228,546
Mon Sep 26 15:14:38 2016,2517,-3338,-248,6636,752,-3534,479
Mon Sep 26 15:14:38 2016,2526,-2862,-410,5562,879,-3688,388
Mon Sep 26 15:14:38 2016,2536,-3462,-582,4724,1045,-3638,127
Mon Sep 26 15:14:38 2016,2546,-3850,-418,4372,1024,-3536,-134
Mon Sep 26 15:14:38 2016,2556,-4554,-136,3476,853,-3306,-521
Mon Sep 26 15:14:38 2016,2565,-4990,24,2368,691,-2907,-833
Mon Sep 26 15:14:38 2016,2575,-5900,286,1382,620,-2541,-973
Mon Sep 26 15:14:38 2016,2585,-6726,652,1046,484,-2042,-938
Mon Sep 26 15:14:38 2016,2618,-7068,1374,-338,259,-1583,-845
Mon Sep 26 15:14:38 2016,2692,-7338,1440,-932,-34,-947,-770
Mon Sep 26 15:14:38 2016,2703,-8326,1234,-1476,-377,206,-562
Mon Sep 26 15:14:39 2016,2713,-9426,1486,-1282,-621,1275,-167
Mon Sep 26 15:14:39 2016,2722,-10966,1844,-1272,-892,1983,142
Mon Sep 26 15:14:39 2016,2732,-11664,1646,-716,-1288,2992,596
Mon Sep 26 15:14:39 2016,2743,-12752,1166,68,-1517,3566,822
Mon Sep 26 15:14:39 2016,2752,-12162,1318,-190,-1946,4582,943
Mon Sep 26 15:14:39 2016,2762,-10966,1620,476,-2264,5491,851
Mon Sep 26 15:14:39 2016,2773,12538,28,16240,-1987,7631,-711
Mon Sep 26 15:14:39 2016,2783,32767,8396,32767,-2465,5685,-179
Mon Sep 26 15:14:39 2016,2792,18014,-808,-14616,-2448,8730,-959
Mon Sep 26 15:14:39 2016,2803,-11800,-9408,2982,-2754,11789,-985
Mon Sep 26 15:14:39 2016,2813,-7302,-11812,17206,-1687,12099,-169
Mon Sep 26 15:14:39 2016,2822,-3676,-9102,5030,1743,12640,-190
