	-3802	-22
	-3816	-21
	-3802	-37
	-3786	-36
	-3800	-41
	-3794	-33
	-3806	-36
	-3828	-39
	-3820	-30
	-3776	-41
	-3854	-12
	-3804	-7
	-3746	-15
	-3834	-16
	-3820	-15
	-3822	-15
	-3836	-12
	-3852	-11
	-3844	-15
	-3818	-13
	-3820	-11
	-3802	-15
	-3812	-3
	-3892	15
	-3942	67
	-4278	104
	-4252	127
	-3626	163
	-3718	137
	-4024	129
	-3976	95
	-4304	78
	-4032	83
	-3384	3
	-3218	-80
	-3236	-231
	-2762	-340
	-2668	-619
	-3124	-967
	-4	-1583
	-906	-1861
	856	-1534
	1688	-1035
	1812	-358
	2798	-102
	3288	219
	2938	303
	2676	258
	2432	187
	2178	95
	1936	84
	1408	145
	1042	224
	-326	464
	-1082	725
	-968	1110
	-794	1310
	-860	1628
	-1526	1893
	-1860	2230
	-1646	2411
	-1250	2621
	-870	2714
	-796	2764
	-994	2782
	-1492	2802
	-1556	2802
	-1358	2700
	-1422	2604
	-1690	2449
	-2260	2316
	-2430	2118
	-1946	1989
	-1394	1759
	-1598	1589
	-1882	1371
	-1978	1207
	-1872	1026
	-2270	941
	-2362	798
	-2602	684
	-3240	546
	-3338	479
	-2862	388
	-3462	127
	-3850	-134
	-4554	-521
	-4990	-833
	-5900	-973
	-6726	-938
	-7068	-845
	-7338	-770
	-8326	-562
	-9426	-167
	-10966	142
	-11664	596
	-12752	822
	-12162	943
	-10966	851
	12538	-711
Heel-Strike	32767	-179
	18014	-959
Heel-Strike	-11800	-985
Heel-Strike	-7302	-169
Heel-Strike	-3676	-190
	-11142	-135
Heel-Strike	-12862	-153
	-32768	-1340
Heel-Strike	-9106	-874
	-1228	-857
	-8824	-518
	-4706	-752
	-4902	-789
	-4756	-649
	-4380	-628
	-3210	-452
	-3060	-308
	-3982	-212
	-3556	-18
	-3064	54
	-2294	134
	-4306	356
	-3596	208
	-3684	160
	-3838	56
	-3454	-113
	-3618	-232
	-3976	-276
	-4126	-241
	-3954	-164
	-4302	-127
	-4456	-108
	-4262	-178
	-3578	-103
	-3688	-255
	-4394	-484
	-3976	-389
	-4392	-227
	-4112	-97
	-4300	-42
	-4622	-24
	-4674	-52
	-4460	13
	-5786	117
	-5854	57
	-4502	-36
	-4784	-94
	-5486	-57
	-5062	-313
	-4440	-245
	-6188	-476
	-4628	-268
	-4272	-126
	-5132	0
	-6982	21
	-6660	-219
	-4804	-450
	-5692	-723
	-4870	-957
	-6718	-895
	-4034	-736
	-8948	-494
	-3146	-847
	-9072	172
	-14290	1110
	-14848	1460
	-18566	1672
	-17280	891
	-16670	694
	-10284	-271
	-3194	-1788
Heel-Strike	-15932	-3107
Heel-Strike	-5108	-2798
	2508	-2495
	3028	-2408
	312	-2400
	382	-2138
	-984	-1835
	-2158	-1754
	-3140	-1698
	-3516	-1641
	-3440	-1454
	-3860	-1354
	-3636	-1149
	-3996	-815
	-5524	-256
	-7102	269
	-7568	1101
	-8130	1649
	-8624	2502
	-8890	3050
	-9922	3796
	-9212	4280
	-10502	4649
	-10506	4711
	-10502	4630
	-10504	4485
	-10306	4235
	-10268	3975
	-10418	3545
	-11864	3257
	-13016	2927
	-13748	2703
	-14768	2344
	-14018	2170
	-13742	2375
	-13236	2497
	-14832	2499
	-17910	2409
	-18480	2348
	-18706	2273
	-18686	1986
	-18608	1012
	-17918	-5
	-19840	-1232
	-17966	-1874
	-15208	-1681
	-13214	-1282
